complete,item,room
false,Coordinate testing and quality assurance activities,1
false,Ensure adherance to project scope and requirements,1
false,Identify project stakeholders,1
false,Develop a project budget,1
false,Plan for testing and quality assurance activities,2
false,Write a plan for project scope and requirements,2
false,Choose project stakeholders,2
false,Describe a project budget,2
false,Plan activities that coordinate testing and quality assurance,3
false,Concerning project scope and requirements ensure adherance,3
false,For project stakeholders identify them,3
false,For a project budget develop it,3